OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,FIRE_TYPE,IRWINID,MAP_ID,MAP_PROG,ASMNT_TYPE,IG_DATE,PRE_ID,POST_ID,PERIM_ID,DNBR_OFFST,DNBR_STDDV,NODATA_THRESHOLD,GREENNESS_THRESHOLD,LOW_THRESHOLD,MODERATE_THRESHOLD,HIGH_THRESHOLD,COMMENTS,LATITUDE,LONGITUDE,SHAPEAREA,SHAPELEN
23257,935,AL3442608557820170305,SLANT ROCK COMPLEX,2017,3,5,Prescribed Fire,,10011369,MTBS,Initial,20170305,A16SFD20170125_30m,A16SFD20170316_30m,,68,11,-970,-150,90,340,9999,,34.406,-85.607,0.000371198121048636,0.118464802411145
23258,543,AR3452609348820170407,UNNAMED,2017,4,7,Prescribed Fire,,10010137,MTBS,Initial,20170407,802503620160505,802503620170508,,39,17,-970,-150,20,9999,9999,,34.521,-93.488,0.000215828981732816,0.0690959142418818
23259,2442,AR3455109356920170217,UNNAMED,2017,2,17,Prescribed Fire,,10010078,MTBS,Initial,20170217,802503620160403,802503620170321,,46,18,-970,-150,50,9999,9999,,34.505,-93.578,0.000970136565528565,0.190881768481122
23260,1958,AR3459909350720170303,UNNAMED,2017,3,3,Prescribed Fire,,10010115,MTBS,Initial,20170303,802503620160403,802503620170321,,19,39,-970,-150,50,9999,9999,,34.583,-93.505,0.000778833990222696,0.181755489956089
23261,1610,AR3461209345720170321,UNNAMED,2017,3,21,Prescribed Fire,,10010122,MTBS,Initial,20170321,802503620160403,802503620170406,,-40,23,-970,-150,40,9999,9999,,34.615,-93.454,0.00064049140971495,0.178075194107421
23262,1111,AR3463809330820170201,UNNAMED,2017,2,1,Prescribed Fire,,10010057,MTBS,Initial,20170201,802503620160130,802503620170217,,-1,28,-970,-150,50,9999,9999,,34.637,-93.3,0.000442227231340765,0.291586906085806
23263,892,AR3466009329620170303,UNNAMED,2017,3,3,Prescribed Fire,,10010106,MTBS,Initial,20170303,802503620160403,802503620170321,,21,22,-970,-150,50,9999,9999,next to a earlier fire scar,34.657,-93.297,0.00035534676015411,0.0998094104464755
23264,3709,AR3471809426920170322,UNNAMED,2017,3,22,Prescribed Fire,,10010130,MTBS,Initial,20170322,802503620160403,802503620170406,,-42,16,-970,-150,30,9999,9999,,34.715,-94.275,0.0014770612612888,0.226323440743757
23265,1287,AR3476009409020170303,UNNAMED,2017,3,3,Prescribed Fire,,10010112,MTBS,Initial,20170303,802503620160403,802503620170321,,-33,16,-970,-150,50,9999,9999,,34.767,-94.092,0.000513125042831644,0.110390751336265
23266,2057,AR3476809373520170217,UNNAMED,2017,2,17,Prescribed Fire,,10010081,MTBS,Initial,20170217,802503620160403,802503620170321,,-21,17,-970,-150,50,9999,9999,,34.773,-93.699,0.000820024835087253,0.181541280179196
23267,1026,AR3477009423020170323,UNNAMED,2017,3,23,Prescribed Fire,,10010121,MTBS,Initial,20170323,802503620160403,802503620170406,,-14,21,-970,-150,50,9999,9999,,34.776,-94.238,0.000409070459233152,0.116451242484484
23268,949,AR3486509304620171121,FORKED,2017,11,21,Wildfire,F7F2AF73-3C22-4CFB-8BA1-D3C352EA1027,10010139,MTBS,Extended,20171121,802503620170508,802503620180511,,11,9,-970,-150,20,9999,9999,"Perimeter provided by Forest staff, modified",34.857,-93.048,0.000378905248394391,0.105231662488746
23269,1941,AR3490209316820170217,UNNAMED,2017,2,17,Prescribed Fire,,10010085,MTBS,Initial,20170217,802503620160403,802503620170406,,20,33,-970,-150,50,9999,9999,,34.9,-93.169,0.000774847560685094,0.212291150380447
23270,1310,AR3490909326020170320,UNNAMED,2017,3,20,Prescribed Fire,,10010124,MTBS,Initial,20170320,802503620160403,802503620170406,,-27,18,-970,-150,50,9999,9999,,34.911,-93.257,0.00052312592202989,0.189689251486112
23271,3087,AR3497009400020170310,UNNAMED,2017,3,10,Prescribed Fire,,10010128,MTBS,Initial,20170310,802503620160403,802503620170406,,-20,12,-970,-150,-10,9999,9999,,34.984,-94.007,0.00123330776679614,0.184468270920928
23272,947,AR3503109332320170304,UNNAMED,2017,3,4,Prescribed Fire,,10010118,MTBS,Initial,20170304,802503620160403,802503620170406,,1,16,-970,-150,50,9999,9999,,35.033,-93.335,0.000378541410557575,0.118151661561713
23273,1292,AR3519809339120170321,UNNAMED,2017,3,21,Prescribed Fire,,10010132,MTBS,Initial,20170321,802503620160403,802503620170406,,-46,14,-970,-150,50,9999,9999,,35.194,-93.417,0.00051752952202088,0.209583536628123
23274,1112,AR3522409347120170323,UNNAMED,2017,3,23,Prescribed Fire,,10010123,MTBS,Initial,20170323,802503620160403,802503620170406,,-34,11,-970,-150,50,9999,9999,,35.224,-93.471,0.00044556519994828,0.107655539691023
23275,1238,AR3554809280820170216,UNNAMED,2017,2,16,Prescribed Fire,,10010009,MTBS,Initial,20170216,802503520160302,802503520170217,,18,11,-970,-150,50,9999,9999,,35.547,-92.81,0.000498140111852087,0.114145099567565
23276,1902,AR3555809325120171125,TOMS MILL,2017,11,25,Wildfire,64643E6E-7601-4E71-ABE9-1A33479E653F,10010054,MTBS,Extended,20171125,802503520160505,802503520180511,,8,10,-970,-150,50,9999,9999,,35.576,-93.26,0.000765678574105056,0.180553181068828
23277,1342,AR3555909277920170323,UNNAMED,2017,3,23,Prescribed Fire,,10010042,MTBS,Initial,20170323,802503520160505,802503520170508,,-2,7,-970,-150,40,290,9999,,35.558,-92.778,0.000540205828113817,0.113635477292015
23278,4818,AR3565009390520170224,UNNAMED,2017,2,24,Prescribed Fire,,10010018,MTBS,Initial,20170224,802503520160403,802503520170406,,-23,14,-970,-150,10,9999,9999,,35.652,-93.916,0.0019404913558057,0.260177589849378
23279,1858,AR3565309368420170320,WSI UNITS MAINTENANCE,2017,3,20,Prescribed Fire,,10010037,MTBS,Initial,20170320,802503520160403,802503520170406,,-39,12,-970,-150,50,315,9999,,35.65,-93.672,0.000748656286172625,0.182952288052566
23280,2354,AR3566809305620170407,UNNAMED,2017,4,7,Prescribed Fire,,10010045,MTBS,Initial,20170407,802503520160505,802503520170508,,-6,8,-970,-150,50,300,9999,,35.663,-93.045,0.00094854901930877,0.183595324057629
23281,1849,AR3567009398020170303,UNNAMED,2017,3,3,Prescribed Fire,,10010024,MTBS,Initial,20170303,802503520160403,802503520170321,,47,28,-970,-150,50,9999,9999,,35.666,-93.993,0.000745211225097398,0.141717580376303
23282,2139,AR3568609363220170201,UNNAMED,2017,2,1,Prescribed Fire,,10010006,MTBS,Initial,20170201,802503520160130,802503520170217,,11,5,-970,-150,50,9999,9999,,35.687,-93.633,0.00086187274416091,0.143316885053609
23283,3898,AR3569209333220170302,UNNAMED,2017,3,2,Prescribed Fire,,10011345,MTBS,Initial,20170302,A15SVV20170223_30m,A15SVV20170308_30m,,48,8,-970,-150,50,380,9999,,35.68,-93.33,0.00157058917103548,0.213171571479578
23284,1547,AR3569609377020170217,UNNAMED,2017,2,17,Prescribed Fire,,10010010,MTBS,Initial,20170217,802503520160403,802503520170406,,23,34,-970,-150,-20,9999,9999,,35.697,-93.771,0.000623581533351555,0.137799664063053
23285,6457,AR3571209290720170223,UNNAMED,2017,2,23,Prescribed Fire,,10010014,MTBS,Initial,20170223,802503520160302,702503520170225,,16,36,-970,-150,50,9999,9999,,35.705,-92.888,0.00260250029807859,0.32610947851344
23286,985,AR3574409283220170131,BEAR CREEK,2017,1,31,Wildfire,98B2CBE2-A7A3-46FF-A5F3-89FD8C09DBAE,10010005,MTBS,Initial,20170131,802503520160130,802503520170217,,24,12,-970,-150,50,295,9999,,35.755,-92.822,0.000397354397683903,0.106471342142453
23287,2102,AR3584909292320170308,UNNAMED,2017,3,8,Prescribed Fire,,10010033,MTBS,Initial,20170308,802503520160403,802503520170321,,44,41,-970,-150,-10,9999,9999,,35.848,-92.923,0.00084886539938158,0.130264159919358
23288,1950,AR3595109233820170309,RX - RAMSEY BLOCK 3,2017,3,9,Prescribed Fire,8A23C2B2-788F-4D3B-AB82-095AE9093F20,10009446,MTBS,Initial,20170309,802503520160505,802503520170508,,-15,10,-970,-150,30,320,9999,,35.958,-92.336,0.000788346395370366,0.29009815062652
23289,2302,AR3598709298720170320,RX - BIG CREEK INTERAGENCY,2017,3,20,Prescribed Fire,6E034C71-831D-47D9-BE4C-31FFAE9775FA,10010036,MTBS,Initial,20170320,802503520160403,802503520170406,,-47,14,-970,-150,30,9999,9999,,35.985,-92.976,0.000931379837139682,0.16917948313672
